title,rating,year,length
Logan (2001),7.6,2008,102
The Lion King (2014),6.4,1986,196
Mad Max: Fury Road (1990),7.7,2003,92
No Time to Die (2024),5.3,1991,179
Spider-Man: No Way Home (2006),5.6,2000,131
The Lion King (1999),8.8,2007,167
Ratatouille (2014),9.7,2022,171
Venom (1996),8.7,1988,153
Doctor Strange (2018),7.1,1984,118
The Bourne Identity (2005),5.9,2008,164
Gladiator (2024),8.3,1997,173
The Green Mile (2000),9.8,2024,148
Mission Impossible (2016),8.4,2020,127
Everything Everywhere All at Once (2006),7.2,2009,112
Captain America: The Winter Soldier (2020),6.0,2001,96
Doctor Strange (2004),9.2,1997,199
Braveheart (1999),6.5,2001,124
Blade Runner 2049 (1991),6.3,2022,124
Wall-E (2017),6.2,2002,107
Casino Royale (1991),7.5,2003,168
Mission Impossible (2022),9.6,2009,185
The Equalizer (1987),9.3,2017,87
Encanto (1995),7.1,2016,141
The Bourne Identity (1983),5.8,1980,123
Frozen (2005),8.2,2005,167
Deadpool (1984),5.5,1992,195
Mad Max: Fury Road (1995),7.5,1993,127
The Dark Knight (1987),6.4,2022,187
Shutter Island (1998),7.2,2008,207
The Equalizer (2011),7.7,2018,96
Goodfellas (2022),9.4,2011,157
The Godfather (1983),7.9,2018,162
The Pianist (1998),6.9,2020,144
Black Panther (2000),6.0,2022,153
Zootopia (2021),6.8,2001,108
The Green Mile (2018),9.0,2018,112
Logan (1986),5.6,1989,90
Pulp Fiction (2010),6.9,2004,138
Frozen (1997),9.3,1983,119
The Intouchables (2009),7.4,2000,93
The Social Network (1998),8.0,1996,140
The Green Mile (1995),6.6,2004,138
The Martian (2002),5.5,1987,167
Titanic (2011),8.1,2009,172
Wall-E (2021),6.3,1999,104
Shutter Island (1981),5.1,1982,122
The Prestige (1996),7.1,1994,187
La La Land (2007),5.9,2003,168
Forrest Gump (2009),9.7,2015,137
Frozen (1995),7.0,1989,128
The Dark Knight (2017),5.6,1998,99
The Flash (1989),5.8,1998,152
Get Out (2021),9.1,1981,85
Whiplash (2010),5.2,2024,184
Guardians of the Galaxy (1997),6.9,2002,209
Ant-Man (2008),7.0,2007,156
Barbie (2004),5.4,1995,210
Mad Max: Fury Road (2014),5.2,2013,142
Forrest Gump (1993),7.8,1985,167
Black Panther (2008),5.2,2023,154
Thor: Ragnarok (2007),8.5,1990,172
No Time to Die (2004),8.9,2007,111
The Green Mile (2012),9.3,2016,111
Top Gun: Maverick (1997),9.7,2002,137
Oppenheimer (1990),8.9,2014,191
Mad Max: Fury Road (2020),9.0,2022,150
Avengers: Endgame (1991),9.7,2000,199
Coco (2021),9.8,1980,168
The Suicide Squad (2016),6.4,2021,131
Spider-Man: No Way Home (2011),9.7,1998,163
Doctor Strange (1995),8.6,1984,145
Back to the Future (2012),5.4,2014,90
Frozen (1993),8.0,2017,149
Up (2013),9.0,1981,191
The Intouchables (2021),7.2,1991,163
No Time to Die (2021),9.4,1981,114
Django Unchained (2019),8.5,2012,194
The Lion King (1993),6.1,2009,162
Doctor Strange (2001),7.1,1997,203
Joker (1999),7.2,1984,104
Everything Everywhere All at Once (1982),9.4,2024,136
Shrek (1998),5.4,2017,95
Toy Story 3 (2021),9.5,2020,169
The Suicide Squad (1986),7.0,1999,132
Joker (2010),5.6,2021,168
La La Land (1998),9.7,1993,142
La La Land (2002),5.2,1991,87
Whiplash (2019),5.7,1991,165
Iron Man (2002),9.2,2019,157
Eternals (2023),8.5,1982,202
Shang-Chi and the Legend of the Ten Rings (1983),9.1,2017,105
Shrek (1983),6.8,2011,180
The Bourne Identity (2005),6.2,2021,104
Arrival (1989),8.0,1986,113
Black Widow (1980),7.4,1994,123
The Shape of Water (2020),9.5,1997,137
La La Land (1991),8.0,2012,97
La La Land (1996),8.4,2003,184
Up (1997),6.7,2009,96
The Departed (2015),8.2,1994,205
Forrest Gump (2023),9.8,2018,147
Frozen (2022),5.7,1990,199
Django Unchained (1993),9.7,2011,199
The Batman (1991),5.8,1991,185
Back to the Future (1992),6.3,1992,88
The Batman (2018),5.5,2004,147
Joker (2018),8.9,1986,201
The Prestige (1995),8.1,1994,124
Frozen (1993),6.5,2013,186
Logan (1999),6.5,2000,138
Avengers: Endgame (1982),6.6,2020,149
Soul (2019),8.6,1981,112
The Departed (2017),6.6,1981,105
Get Out (1995),5.3,2009,153
Arrival (2014),8.1,2001,191
A Quiet Place (1994),5.2,2005,178
Soul (1980),8.2,1991,155
The Wolf of Wall Street (2007),7.9,1983,193
Django Unchained (2019),6.5,2024,174
Spider-Man: No Way Home (1981),7.8,2017,177
The Green Mile (1980),6.6,1981,186
Encanto (2014),5.3,2020,97
Shang-Chi and the Legend of the Ten Rings (1984),7.6,2016,106
Top Gun: Maverick (1988),8.9,1999,140
Wall-E (2000),8.4,2007,116
Guardians of the Galaxy Vol. 3 (2001),8.0,1982,155
Interstellar (2000),7.9,2005,136
Ratatouille (2011),5.5,2005,129
Soul (2024),8.9,2016,199
Dune (1982),7.9,1987,196
Wall-E (2013),5.9,1998,169
The Suicide Squad (1994),8.5,2023,170
The Equalizer (1991),7.5,1998,136
Toy Story 3 (1998),9.3,2012,118
Eternals (2021),7.1,1986,189
Gladiator (2020),5.4,1993,147
No Time to Die (2001),7.8,1990,117
The Flash (1989),9.8,2016,181
The Lion King (1992),9.4,1987,157
Up (1999),8.4,2022,119
Doctor Strange (2001),8.2,2017,95
Se7en (1998),5.0,1988,184
Ratatouille (1989),7.1,1988,124
Spirited Away (2012),8.0,2013,87
Forrest Gump (2020),9.0,2002,123
The Flash (1987),5.7,2010,184
Black Panther (1990),6.1,2016,110
The Martian (2024),8.7,2022,190
The Social Network (2016),8.0,2020,191
The Prestige (1996),6.7,1984,181
The Marvels (2019),7.6,1997,172
Django Unchained (2011),8.8,1990,126
The Intouchables (2005),7.4,1982,149
The Marvels (1997),9.3,2003,156
Parasite (1982),5.1,2004,117
Mad Max: Fury Road (1982),7.4,2007,132
Get Out (2020),9.3,1994,149
The Lion King (2011),7.8,2014,167
Casino Royale (1986),8.7,2014,151
Ant-Man (1996),9.3,2018,152
Spider-Man: No Way Home (1996),7.1,2019,90
Avengers: Infinity War (1997),7.5,2009,159
Arrival (2022),5.4,2015,208
Pulp Fiction (2004),7.7,2008,207
Doctor Strange in the Multiverse of Madness (1984),8.5,1980,121
Fight Club (2013),6.5,2004,172
Casino Royale (1999),8.8,2014,191
Tenet (1981),5.8,2017,109
Inception (2009),8.9,2013,171
The Truman Show (1989),7.8,2002,132
The Revenant (1998),7.2,2014,164
The Bourne Identity (1998),8.8,2011,128
The Truman Show (2023),9.8,1980,171
Avengers: Endgame (2017),6.6,2009,95
Up (1992),6.8,2014,195
The Pianist (2009),7.8,1993,121
A Quiet Place (2019),6.7,2005,205
Braveheart (2015),9.7,1987,92
Whiplash (2005),6.6,2008,208
The Pianist (1991),7.5,2007,196
Alien (1982),7.8,2010,202
Forrest Gump (2007),6.9,1994,102
Upgraded (1985),7.5,2008,187
Venom (2000),6.1,1994,169
The Shape of Water (2019),7.5,1991,110
No Time to Die (2019),8.0,1997,178
Shutter Island (1993),9.4,2017,145
Eternals (2020),9.5,1987,117
Deadpool (1999),5.5,1996,85
Upgraded (1998),9.6,2013,131
The Departed (1989),6.9,2006,85
Ant-Man (2015),9.6,1989,186
Eternals (2000),7.9,1981,162
Inception (2017),8.8,1991,164
Blade Runner 2049 (2015),5.4,2014,88
"Monsters, Inc. (2010)",5.9,2019,182
Django Unchained (1997),6.0,2013,144
The Batman (2010),6.2,2008,199
Guardians of the Galaxy Vol. 3 (1996),5.7,2021,172
Mad Max: Fury Road (1987),6.4,2011,155
The Amazing Spider-Man (1995),8.7,2021,92
The Suicide Squad (2001),8.8,1996,208
La La Land (2009),5.3,1989,96
Upgraded (2007),6.5,2008,124
The Usual Suspects (1987),8.9,1987,210
The Dark Knight Rises (2009),6.3,2018,169
Encanto (2016),6.2,2001,152
Everything Everywhere All at Once (1998),6.1,2017,167
The Grand Budapest Hotel (2016),7.3,1987,199
Arrival (2008),8.3,1999,194
The Departed (2001),8.8,2023,102
Upgraded (2022),5.2,2015,160
The Intouchables (2022),8.2,1995,85
Braveheart (1983),6.7,2011,130
Arrival (2002),7.2,2016,108
Arrival (2007),8.0,2016,137
Iron Man (1988),7.4,2014,199
The Wolf of Wall Street (2006),9.3,2023,171
Braveheart (1987),8.4,2000,199
La La Land (2001),6.4,1998,126
La La Land (2000),5.4,1997,147
Braveheart (1989),6.1,2015,133
12 Angry Men (2012),5.2,2002,153
The Wolf of Wall Street (2014),7.3,1987,133
Guardians of the Galaxy Vol. 3 (2012),8.3,2002,194
The Revenant (2021),8.5,2016,195
Deadpool (2000),9.5,2008,179
Inglourious Basterds (1995),6.1,2024,102
The Godfather (1991),5.1,1983,176
Deadpool (2024),7.8,2008,114
Se7en (2002),6.9,1999,171
The Wolf of Wall Street (2019),6.7,2011,172
Doctor Strange (1984),7.5,1984,187
Inception (1981),6.7,1993,189
Shutter Island (2021),9.6,1980,157
Blade Runner 2049 (1997),6.2,1980,178
The Martian (2015),8.0,2001,107
Encanto (2003),9.5,2013,95
Guardians of the Galaxy (2020),7.6,1989,103
Frozen (2004),8.8,1995,194
The Amazing Spider-Man (1999),6.0,1998,106
Joker (2018),6.8,2001,137
The Prestige (1986),8.7,2011,124
Venom (2000),8.6,2020,134
The Shape of Water (2020),8.0,1990,172
The Shawshank Redemption (2023),7.4,2003,94
Captain America: The Winter Soldier (1994),8.8,1984,165
Whiplash (2013),9.8,1986,125
The Martian (2000),6.0,2006,99
The Incredibles (2018),8.0,2020,136
The Dark Knight (2008),7.5,1989,87
The Martian (1985),9.8,2013,130
The Lion King (2008),8.0,2003,108
The Lion King (2017),5.7,2008,98
Venom (1995),8.2,2019,195
Avengers: Infinity War (2009),7.5,2016,153
Shang-Chi and the Legend of the Ten Rings (1999),6.2,2022,97
Shang-Chi and the Legend of the Ten Rings (1987),6.3,2005,150
Ratatouille (2013),8.2,2012,127
Eternals (2013),6.3,1984,188
Logan (1992),8.1,2003,154
Venom (1982),8.5,2007,171
The Matrix (2001),6.6,1985,127
Blade Runner 2049 (1982),6.8,2014,197
Casino Royale (2007),8.6,1985,97
John Wick (1997),5.1,2001,116
Shang-Chi and the Legend of the Ten Rings (2014),9.4,2004,106
Zootopia (2021),9.6,1988,164
Shutter Island (1992),9.9,1989,101
Deadpool (2018),8.3,1997,198
The Usual Suspects (2022),5.7,2008,147
Casino Royale (1983),8.4,1994,161
A Quiet Place (2004),6.6,1988,111
Mad Max: Fury Road (1990),7.9,2014,101
The Shape of Water (2009),8.4,2024,121
Joker (2010),8.7,2002,102
12 Angry Men (1991),8.6,2009,191
John Wick (2020),8.8,1985,167
Soul (2023),6.2,2007,123
Get Out (1988),5.7,1997,138
Coco (2007),8.5,1996,184
Saving Private Ryan (2012),5.1,2009,86
Doctor Strange (2016),6.7,1981,171
Django Unchained (1991),9.9,2015,203
Oppenheimer (1995),8.6,1999,193
Doctor Strange (1989),7.5,2004,109
Black Panther (1999),5.8,1980,96
Shutter Island (2019),5.2,2005,169
The Dark Knight Rises (2021),7.3,2005,184
Frozen (2018),6.2,2005,129
Alien (2004),7.6,2013,156
The Martian (2005),8.0,2005,184
No Time to Die (1986),7.7,2020,162
Parasite (2008),5.3,1999,158
The Equalizer (2017),9.3,2016,161
Blade Runner 2049 (2016),9.8,2011,85
Interstellar (1990),7.6,1986,162
Up (2000),6.7,2002,196
Up (1998),5.4,1980,197
Blade Runner 2049 (1997),7.4,2021,97
The Matrix (2007),5.4,1984,148
The Truman Show (1990),6.1,2005,147
The Godfather (1992),5.4,2006,103
Avengers: Infinity War (2021),5.2,1996,199
The Silence of the Lambs (1982),5.1,2023,194
The Flash (2020),6.0,1983,122
The Flash (1983),6.1,2014,146
The Equalizer (2002),5.1,1984,116
Saving Private Ryan (1991),6.5,1981,195
1917 (2023),5.5,1981,155
The Dark Knight (1987),9.2,1983,121
Mission Impossible (2007),5.6,2003,201
Mission Impossible (1996),7.3,2000,110
Shrek (1986),8.5,1989,123
The Equalizer (1985),8.4,2002,114
The Hunger Games (1999),6.5,2024,111
The Social Network (2001),9.7,2012,100
Forrest Gump (2002),6.1,1988,85
The Departed (2018),5.9,1988,135
The Batman (2014),7.9,2020,135
The Equalizer (1984),8.0,2022,118
Se7en (1996),8.3,2024,110
Venom (1985),6.4,2021,115
John Wick (1995),8.9,2003,101
No Time to Die (1996),6.5,2002,198
The Green Mile (2003),5.0,2009,202
La La Land (2016),7.2,1994,194
Se7en (1996),8.4,2003,208
A Quiet Place (2019),7.1,1984,101
Toy Story 3 (1990),7.9,1998,148
Zootopia (1982),5.9,1984,112
Shang-Chi and the Legend of the Ten Rings (1997),5.3,2006,87
Saving Private Ryan (2000),6.8,2016,86
Shutter Island (2016),8.0,2023,132
The Batman (2016),7.8,2023,177
The Intouchables (1992),8.7,1988,138
Finding Nemo (2013),6.3,1987,133
Titanic (2017),8.2,2010,101
Logan (2003),6.5,1989,162
Barbie (1991),6.1,2020,182
The Silence of the Lambs (1980),8.0,2021,121
1917 (2023),6.8,2017,159
Captain America: The Winter Soldier (2011),5.4,2009,167
Eternals (2001),9.7,2005,123
Alien (1990),7.7,2011,142
Pulp Fiction (2014),5.2,1987,116
Encanto (2002),9.1,2013,105
Shrek (1986),9.4,2001,160
The Godfather (2015),8.1,1995,88
The Godfather (1987),9.7,1998,150
Top Gun: Maverick (2005),5.2,1983,88
Back to the Future (1980),8.2,2008,100
Toy Story 3 (2011),7.6,1981,191
The Incredibles (2005),5.8,1980,100
The Matrix (2003),7.1,1993,145
Dune (2007),7.1,2002,149
The Suicide Squad (1991),5.0,2008,132
Deadpool (1987),5.3,2000,167
Saving Private Ryan (1995),5.5,2022,174
The Intouchables (2018),5.7,2008,194
The Marvels (2015),5.9,2018,132
The Intouchables (2007),5.5,1983,102
Interstellar (2007),7.9,1996,153
Oppenheimer (2003),5.3,1980,89
A Quiet Place (2007),5.3,1997,98
Pulp Fiction (1993),6.0,2017,186
Inglourious Basterds (1984),6.4,2004,94
Se7en (2008),9.9,2006,123
Goodfellas (1980),8.5,2005,163
The Marvels (1999),6.2,2022,135
Whiplash (1986),5.5,2004,133
Forrest Gump (1997),8.8,2018,196
Everything Everywhere All at Once (1985),9.4,2016,167
Se7en (2016),5.3,1987,156
The Hunger Games (1993),8.4,2000,85
The Incredibles (2004),5.5,1992,135
The Revenant (2002),8.9,1991,174
Get Out (2021),8.9,2002,149
A Beautiful Mind (1988),7.9,2001,139
Joker (1982),5.3,1981,106
Venom (1985),8.7,1998,124
Upgraded (1981),7.1,1992,126
Tenet (1993),7.5,2016,192
Casino Royale (1999),9.7,1985,210
Forrest Gump (2004),6.1,1993,90
Casino Royale (1981),8.9,2016,141
The Social Network (1999),6.7,2008,152
Guardians of the Galaxy Vol. 3 (2011),9.4,1983,204
Shang-Chi and the Legend of the Ten Rings (2014),5.3,2018,186
Django Unchained (1995),6.5,2012,122
Parasite (2000),8.1,2004,188
Mission Impossible (1994),5.9,2014,190
Deadpool (2016),8.5,1987,194
Forrest Gump (1999),8.4,2016,115
Inside Out (1983),8.6,1982,164
Coco (1994),8.7,2008,182
Pulp Fiction (1991),5.2,2009,160
Titanic (2020),8.7,1999,112
John Wick (1991),6.4,1992,204
Spider-Man: No Way Home (2008),8.7,2022,198
The Matrix (2018),7.7,2020,165
Shutter Island (2007),5.4,1994,195
Tenet (2003),5.2,2000,141
Zootopia (2018),8.6,2018,155
"Monsters, Inc. (2010)",6.9,1991,107
Get Out (2020),5.0,2012,144
The Equalizer (1983),9.2,2005,129
Avengers: Endgame (2024),5.1,2015,153
Get Out (1991),9.2,2024,156
The Revenant (2012),9.0,1991,170
The Incredibles (1993),9.0,1982,146
Captain America: The Winter Soldier (2008),6.8,2015,184
Iron Man (1981),6.1,1991,87
The Incredibles (2001),6.1,1987,184
Wall-E (1983),8.0,1991,170
The Grand Budapest Hotel (1988),8.8,2008,134
The Grand Budapest Hotel (2008),6.5,2006,195
The Equalizer (2009),5.4,2019,155
Parasite (2019),9.8,2004,127
The Wolf of Wall Street (2002),6.2,1995,104
The Prestige (1987),7.3,2020,171
Avengers: Endgame (1996),9.3,2005,145
Iron Man (2012),9.8,2012,143
The Amazing Spider-Man (1998),6.5,2011,95
Ratatouille (1986),7.6,1995,154
Thor: Ragnarok (2021),5.8,1980,127
Gladiator (2005),6.2,2014,183
Arrival (1992),8.8,1986,134
Up (1989),9.2,2024,143
Wall-E (1997),9.7,2002,90
Casino Royale (2015),7.4,2014,193
